
2024/09/20 (15:00:48) | ===> btop++ v.1.3.2
2024/09/20 (15:00:48) | WARNING: Failed to set locale en_IN.UTF-8 continuing anyway.
2024/09/20 (15:00:48) | WARNING: Failed to set locale en_IN.UTF-8 continuing anyway.

2024/10/10 (22:32:40) | ===> btop++ v.1.3.2
2024/10/10 (22:32:40) | WARNING: Failed to set locale en_IN.UTF-8 continuing anyway.
2024/10/10 (22:32:40) | WARNING: Failed to set locale en_IN.UTF-8 continuing anyway.

2024/10/10 (22:36:29) | ===> btop++ v.1.3.2
2024/10/10 (22:36:29) | WARNING: Failed to set locale en_IN.UTF-8 continuing anyway.
2024/10/10 (22:36:29) | WARNING: Failed to set locale en_IN.UTF-8 continuing anyway.

2024/10/10 (22:37:52) | ===> btop++ v.1.3.2
2024/10/10 (22:37:52) | WARNING: Failed to set locale en_IN.UTF-8 continuing anyway.
2024/10/10 (22:37:52) | WARNING: Failed to set locale en_IN.UTF-8 continuing anyway.

2024/10/10 (22:39:07) | ===> btop++ v.1.3.2
2024/10/10 (22:39:07) | WARNING: Failed to set locale en_IN.UTF-8 continuing anyway.
2024/10/10 (22:39:07) | WARNING: Failed to set locale en_IN.UTF-8 continuing anyway.
2024/10/10 (22:41:23) | INFO: Logger set to INFO
2024/10/10 (22:41:23) | INFO: Logger set to DEBUG
2024/10/10 (22:41:26) | DEBUG: Loading theme file: /Users/haycohen/.config/btop/themes/catppuccin_frappe.theme
2024/10/10 (22:41:35) | DEBUG: Loading theme file: /Users/haycohen/.config/btop/themes/catppuccin_mocha.theme
2024/10/10 (22:41:41) | INFO: Logger set to INFO
2024/10/10 (22:41:50) | INFO: Logger set to DEBUG
